generation	best_fitness	median_fitness	predicted_fitness	fitness_progress
0	96.0333	98.4726	0	0
1	96.1486	98.5367	153.838	-0.00120001
2	95.313	98.3275	-84.7617	0.00377147
3	95.2035	98.2649	-64.0456	0.00333517
4	94.9907	95.3553	-35.3337	0.00273269
5	94.8508	95.175	-11.589	0.00223443
6	94.6173	94.969	-7.84932	0.00215425
7	93.8536	94.8243	-22.431	0.0024573
8	93.6956	94.7702	-28.3388	0.00257938
9	85.0902	94.6683	-44.7542	0.0029223
10	79.4304	88.9933	-52.9898	0.0030945
11	62.4782	85.7079	-76.2174	0.00358253
12	67.4278	81.7427	-100.021	0.0040863
13	68.2442	85.4407	-142.992	0.00500976
14	79.5907	83.3254	-227.833	0.00687208
15	66.1994	82.639	-333.865	0.00930357
16	44.5618	81.4352	-625.024	0.016326
17	69.2748	82.6659	-912.103	0.0237235
18	67.8818	83.0109	-962.163	0.0250817
19	67.286	81.5138	-954.284	0.0248659
20	65.6661	82.9095	-915.236	0.0238701
21	80.3414	85.9673	-882.64	0.0233645
22	65.143	81.5803	-810.707	0.0217191
23	47.5069	83.0851	-886.419	0.0239235
24	47.4366	81.5757	-923.065	0.0250668
25	47.9839	81.6817	-859.686	0.0238297
26	52.2437	78.7786	-887.798	0.0248213
27	46.3648	81.5586	-895.912	0.0253379
28	46.8029	75.7909	-923.045	0.0265753
29	51.7839	81.5725	-896.282	0.0259043
30	8.51563	75.1457	-926.924	0.0273008
31	8.8379	69.8157	-947.333	0.0282143
32	13.5704	61.8999	-968.866	0.0295594
33	0.768617	69.142	-1007.37	0.0312419
34	0.681492	74.4303	-1025.31	0.0326625
35	35.7351	71.312	-1011.53	0.0322495
36	0.69754	33.1863	-1029.53	0.0337654
37	0.689802	72.2002	-1115.16	0.0378185
38	0.633192	54.6382	-1135.17	0.0398129
39	0.624193	59.4319	-1153.33	0.0412994
40	0.631995	54.1928	-1180.26	0.0436313
41	0.621905	7.68335	-1195.5	0.0455753
42	0.62777	17.1663	-1201.14	0.0470673
43	0.631451	53.3044	-1226.74	0.0490199
44	0.616201	21.0716	-1217.23	0.0494768
45	0.628825	26.6809	-1206.2	0.0496152
46	0.621914	19.3273	-1206.14	0.0505991
47	0.623299	38.0766	-1194.34	0.0506854
48	0.690692	59.2524	-1183.67	0.0507858
49	0.634264	48.3058	-1176.93	0.051805
50	0.625648	36.5424	-1158.03	0.0520867
51	0.676422	37.4339	-1142.22	0.0520151
52	0.61197	34.5684	-1134.44	0.0526157
53	0.61501	64.4354	-1128.28	0.0525521
54	0.601704	32.968	-1109.25	0.0524863
55	0.628734	41.3345	-1101.52	0.0525857
56	0.611836	0.693648	-1093.53	0.0532199
57	0.605991	0.709997	-1086.17	0.0538269
58	0.60742	9.87516	-1070.35	0.0531099
59	0.603457	37.5918	-1048.98	0.0527536
60	0.592045	0.688255	-1015.51	0.0515499
61	0.600693	0.624307	-984.523	0.0498078
62	0.612743	24.7926	-975.766	0.0503677
63	0.60524	42.9138	-958.892	0.0493588
64	0.613368	17.3206	-910.029	0.0468682
65	0.625103	40.8472	-829.389	0.044307
66	0.60968	21.8109	-706.242	0.0385611
67	0.596346	0.683294	-610.622	0.0350141
68	0.60064	24.1151	-335.175	0.0318103
69	0.613558	49.6269	-31.651	0.0232995
70	0.606023	0.69199	-21.785	0.0211758
71	0.596235	25.5633	-15.6127	0.0191018
72	0.596314	7.48131	-12.5736	0.0176732
73	0.59868	0.63245	-11.3994	0.0170441
74	0.587747	0.621986	-9.20546	0.0156013
75	0.586664	20.6978	-6.46622	0.0131562
76	0.592077	31.0705	-5.66316	0.0122678
77	0.59689	0.666259	-4.68012	0.011038
78	0.592878	38.9448	-3.05178	0.00862881
79	0.592082	0.693164	-2.85541	0.00830196
80	0.595108	21.7811	-2.4659	0.00760198
81	0.600432	0.615947	-2.16649	0.00704701
82	0.601749	0.68873	-2.07521	0.00687453
83	0.589913	0.628213	-1.97196	0.00664789
84	0.578489	6.78331	-1.70523	0.00608181
85	0.600637	0.666397	-1.5051	0.00563448
86	0.587959	0.664821	-1.35254	0.00528124
87	0.594251	0.620816	-1.22658	0.00499594
88	0.594535	0.673459	-1.12278	0.00475648
89	0.598383	0.666299	-0.926916	0.00428191
90	0.592014	0.647819	-0.805781	0.00397647
91	0.60063	39.458	-0.751891	0.00383815
92	0.598583	0.623176	-0.658709	0.00359529
93	0.594564	0.664471	-0.622342	0.0035044
94	0.583879	0.667441	-0.606732	0.00346427
95	0.591348	6.55651	-0.593001	0.00342478
96	0.595596	0.628465	-0.533261	0.00326789
97	0.589887	12.7522	-0.468897	0.00309826
98	0.592309	0.637865	-0.424307	0.00297673
99	0.581018	0.647565	-0.289399	0.00261927
100	0.598427	15.5021	-0.259534	0.00253767
101	0.586656	0.61613	-0.228169	0.00245161
102	0.594859	36.3401	-0.197665	0.00236522
103	0.588537	0.677746	-0.168105	0.00228265
104	0.595035	0.667947	-0.142994	0.00221156
105	0.597676	0.660178	-0.133305	0.002183
106	0.594181	8.12633	-0.122732	0.00215205
107	0.591951	0.611275	-0.101222	0.00209119
108	0.594001	17.2556	-0.0810293	0.00203363
109	0.594789	38.1008	-0.0706097	0.00200302
110	0.589547	14.267	-0.0518735	0.00194919
111	0.592107	0.648043	-0.0364091	0.00190419
112	0.591903	0.648453	-0.0207704	0.00185864
113	0.582503	0.600399	-0.00805074	0.00182124
114	0.586854	0.647593	0.0104755	0.00176742
115	0.580124	0.59531	0.0209371	0.00173626
116	0.575588	0.604638	0.0306205	0.00170725
117	0.585387	0.6512	0.0432366	0.00166991
118	0.577481	20.3575	0.0477466	0.0016556
119	0.60424	38.7252	0.0524238	0.00164073
